n,k,avg_rprmax,avg_rppmax
3,2,0.75,inf
4,2,0.3287883691383367,1.3235360415199693
4,3,0.4444444444444444,inf
5,2,0.1842055689326223,0.793441822838826
5,4,0.31249999999999983,inf
6,2,0.11609113303376697,0.5780886859484983
6,3,0.15247312846787445,0.9040962382190744
6,4,0.17890638135769651,1.3636893891927946
6,5,0.23999999999999977,inf
7,2,0.07868452238057733,0.4545559625523584
7,4,0.12328099209479315,0.9431963775493488
7,6,0.19444444444444436,inf
8,2,0.05616863169849238,0.37333859888977833
8,3,0.07888244158682839,0.568524602056317
8,4,0.09239248665729036,0.7552834457551404
8,5,0.10324086871703589,0.967925896289664
8,6,0.12096201563744878,1.3514814478935806
8,7,0.16326530612244913,inf
9,2,0.04170729961958736,0.3156612591116849
9,4,0.07189264310519568,0.635774601774844
9,6,0.08868267195721072,0.9844505373308481
9,8,0.1406249999999999,inf
10,2,0.031948338897664304,0.27256720071940743
10,3,0.044469312302286707,0.4029959113698805
10,4,0.058228146966228134,0.555175848708908
10,5,0.06476478971830033,0.6814617944749451
10,6,0.06979042863071085,0.8123646450767243
10,7,0.07743120475365418,0.9935672916673084
10,8,0.09089595942883984,1.3351131880493747
10,9,0.1234567901234566,inf
11,2,0.02509874980770861,0.2391722145744354
11,4,0.051085932304522685,0.5112888827422184
11,6,0.0574912269489809,0.7067130142782083
11,8,0.0685955881950772,0.9989997664923539
11,10,0.10999999999999999,inf
12,2,0.02013436158587639,0.2125649417811639
12,3,0.030620502374963006,0.32367495681635317
12,4,0.0410471814456077,0.4485858656561468
12,5,0.04584269664897722,0.5447498580094507
12,6,0.04861942267732018,0.6313671131632854
12,7,0.05146914738465387,0.7245476650360102
12,8,0.05539676336771099,0.8389119221109078
12,9,0.061549377483595805,1.0029030876672902
12,10,0.07264189510731493,1.321004889701818
12,11,0.09917355371900825,inf
13,2,0.01643874068093708,0.1908950936197469
13,4,0.038034424926180525,0.4287663670119361
13,6,0.041985832892804345,0.5745287453265598
13,8,0.046484102934066004,0.7377021478969032
13,10,0.055786689297716574,1.005525851995425
13,12,0.09027777777777793,inf
14,2,0.013624564777529062,0.17292803891134167
14,3,0.023348674202443437,0.28025500462992026
14,4,0.03264818775392196,0.39280570256421843
14,5,0.03556854237361067,0.4668322430067601
14,6,0.03704345218950048,0.5313462537869326
14,7,0.03855251261038282,0.5974734250427335
14,8,0.04007500094749138,0.6662722072350776
14,9,0.04229648487051578,0.7474108139638015
14,10,0.04571156279708646,0.8530416875192192
14,11,0.050989407932563305,1.0072584998147498
14,12,0.06042874693802602,1.3095712090446294
14,13,0.08284023668639055,inf
15,2,0.01143951952371446,0.1578076445375956
15,4,0.029613686701005188,0.3714081032894067
15,6,0.033409149768910004,0.4988401841462964
15,8,0.03527276370299707,0.6126793236480065
15,10,0.03885020016299667,0.756101281276882
15,12,0.04693634356707067,1.0083671485087287
15,14,0.07653061224489807,inf
16,2,0.009714093074337451,0.1449213768063288
16,3,0.020488659300657096,0.259258277266946
16,4,0.026821749225940335,0.3512448213962121
16,5,0.028773705620033285,0.4123741464132193
16,6,0.02964034139568842,0.4645873806337238
16,7,0.030638076906294158,0.5177591807425301
16,8,0.03131703010562451,0.5681220329266482
16,9,0.032495678009257234,0.6251942421637274
16,10,0.03383303784250313,0.6868420780846682
16,11,0.035867117954524394,0.7625891036361956
16,12,0.03882853081632724,0.8613874946961426
16,13,0.04346864418870584,1.0090320706096212
16,14,0.05170115359913904,1.300337413092725
16,15,0.07111111111111106,inf
17,2,0.00833132585587541,0.13381943651480063
17,4,0.024053383130512994,0.33049620637843713
17,6,0.027337574081971266,0.4428843071438743
17,8,0.02832855141725103,0.5338592826193331
17,10,0.030015447645626192,0.6343106827604157
17,12,0.03328235459484662,0.7676643112794654
17,14,0.040473542213282095,1.0094703587572813
17,16,0.06640625000000011,inf
18,2,0.007208616112897158,0.12416416430935649
18,3,0.016655049995332894,0.2332068322886344
18,4,0.021355293865184366,0.30937315932915005
18,5,0.024444792236641342,0.37561559227895647
18,6,0.02514560523899298,0.42187164519823145
18,7,0.025448999266029466,0.46330252346937584
18,8,0.025758767243707674,0.5039006439125362
18,9,0.02631157421441409,0.5470816620014733
18,10,0.02695796542512987,0.5919758529897925
18,11,0.027896375860161422,0.6421941470831307
18,12,0.029186175449127622,0.7002088246803627
18,13,0.03103169583495573,0.7717840686202111
18,14,0.03370105987380105,0.8664987361004656
18,15,0.03785871644382888,1.0096858833710294
18,16,0.04516091560789226,1.2928020025171962
18,17,0.062283737024221665,inf
19,2,0.006286416287730072,0.11569723514237681
19,4,0.02026583849460408,0.30073288878853616
19,6,0.023191553404520355,0.4027001412222688
19,8,0.023727860325455992,0.4797219659883306
19,10,0.02451337738251662,0.5577138292333095
19,12,0.026043940541148523,0.6487733719791302
19,14,0.029059418099758892,0.7752243716667889
19,16,0.0355579345203188,1.0097692264557856
19,18,0.05864197530864188,inf
20,2,0.00552100786488047,0.10821773339606092
20,3,0.01506618504421867,0.2208979143178948
20,4,0.019724580322740166,0.29610419795102005
20,5,0.021068706619096277,0.34549601165495736
20,6,0.021464930969308748,0.3853656835891035
