n,k,avg_rprmax,avg_rppmax
3,2,0.3798375858658138,3.375
4,2,0.18097812638921076,1.224744871391589
4,3,0.2508498475720133,2.4494897427831783
5,2,0.10396222320739137,0.6249999999999997
5,4,0.18758800874306708,2.096313728906051
6,2,0.06612205556428222,0.37213954633348095
6,3,0.0922292468059539,0.7310827552026335
6,4,0.11157519004288226,1.140958243883497
6,5,0.15028669019488114,1.9091883092036752
7,2,0.0450214914359825,0.24302777619029475
7,4,0.0781831549880527,0.7596416140657345
7,6,0.12569612235934344,1.7932163840429287
8,2,0.03222288152963312,0.16903085094570325
8,3,0.04850873829609514,0.3558654346285822
8,4,0.05913936863205758,0.5553631970541766
8,5,0.06777472636096696,0.7752725119757556
8,6,0.08047099286074932,1.0894095588038442
8,7,0.10824426612527988,1.7142857142857164
9,2,0.023965563279042503,0.12312817677046169
9,4,0.04630558288117334,0.42418550298800406
9,6,0.059804249047704226,0.7843638044227694
9,8,0.09519759562412676,1.6570921039795654
10,2,0.018377187176371875,0.0929402994556144
10,3,0.02756256958881157,0.19401047499286123
10,4,0.03765963522280487,0.3386528376173976
10,5,0.043125817752217924,0.47072359789544455
10,6,0.04745131544076536,0.6085796741704655
10,7,0.053374340412003105,0.7876092780046366
10,8,0.06305964739094766,1.0564428184106458
10,9,0.08506132739878461,1.6137430609197538
11,2,0.014447236261426435,0.07216878364870312
11,4,0.033105113226625946,0.29373752582456303
11,6,0.03930159977407089,0.4956755472288017
11,8,0.04815927247290776,0.7883804324378701
11,10,0.07694971809957003,1.5797547277979576
12,2,0.011595092262984311,0.05734953439584922
12,3,0.01902575318942003,0.13082822916244968
12,4,0.026682223513907404,0.23381299538585631
12,5,0.030745926268739565,0.3263685779375338
12,6,0.03336894191376012,0.4153184314823252
12,7,0.03594177467741434,0.5128940956727537
12,8,0.03917863084376287,0.6308504125586685
12,9,0.04389342634988071,0.7884770406078383
12,10,0.05194785534227618,1.0338834344411019
12,11,0.07030452266189298,1.552390851355386
13,2,0.009469857752001723,0.046458077991085034
13,4,0.02474430556222605,0.21498271784081274
13,6,0.02890256934587591,0.35589844080378713
13,8,0.0330422219840016,0.5253074530022137
13,10,0.040327454650891756,0.7879709223985719
13,12,0.06475630671131832,1.5298869164983193
14,2,0.007850402117907992,0.03825193723644753
14,3,0.014532585377897509,0.09833546485871339
14,4,0.021276355093584755,0.1833304722222032
14,5,0.023947206893897552,0.24963922521680795
14,6,0.0255570292927437,0.31196576161726897
14,7,0.02710156139630614,0.378765774693875
14,8,0.02859199442506156,0.4499501170671608
14,9,0.030524777848766848,0.5342350087612907
14,10,0.03326719934066724,0.641502454542918
14,11,0.03730225756271006,0.7871020983566848
14,12,0.044235617863574925,1.0175670763735933
14,13,0.060050724035326644,1.5110539446587068
15,2,0.006592357815774481,0.031937094820284465
15,4,0.019314781700067365,0.16536270536427067
15,6,0.02308695991960518,0.2797959352169973
15,8,0.025236268795829585,0.39383738556513576
15,10,0.028406895351615762,0.5421979581916812
15,12,0.034703709420314297,0.7860239846568162
15,14,0.056006846616141595,1.4950615329949257
16,2,0.005598573827826504,0.026988539051540143
16,3,0.012752984556047378,0.08539579305757607
16,4,0.017508020241865815,0.14904849470199275
16,5,0.019422193818643366,0.19985611548876975
16,6,0.020518688262815332,0.2470373094731321
16,7,0.021627256852057734,0.2979001482886069
16,8,0.022458509615583634,0.34799102735344
16,9,0.02359934761936348,0.406214395816294
16,10,0.02482503381484586,0.46991533261915686
16,11,0.02652988915234234,0.5479748300951816
16,12,0.028889294673923815,0.647138098172854
16,13,0.032447577000025,0.7848321380012411
16,14,0.03856393825868639,1.0052493799000668
16,15,0.05249239075088792,1.481312159636081
17,2,0.004801932625599402,0.023048861143232166
17,4,0.015713689166077367,0.13309944503574794
17,6,0.018943569631606046,0.22688681169733
17,8,0.020351133602740802,0.31346209407140596
17,10,0.02208323436341359,0.4151444204762109
17,12,0.024871987400709596,0.5523807857234221
17,14,0.030473400371523924,0.7836677522252643
17,16,0.04940835154209674,1.4693648978810565
18,2,0.004154986045205581,0.019868530453451792
18,3,0.010376870210769147,0.06886452387485247
18,4,0.013962243284788928,0.11772878329874156
18,5,0.016526342243238762,0.1684449717470599
18,6,0.01744187283433784,0.20792051894380253
18,7,0.018013314393755014,0.2454929281344707
18,8,0.018533309621410185,0.2839715856735296
18,9,0.019185629522768227,0.32631821988036447
18,10,0.01987699564283247,0.3714777177551413
18,11,0.020759131875545206,0.42284483646512727
18,12,0.021883221610756207,0.4826082189655964
18,13,0.023404702115432597,0.5558804124584591
18,14,0.025524386798673963,0.6501303215526252
18,15,0.028729306737476163,0.7824950675437063
18,16,0.0342131729115476,0.9956341036404837
18,17,0.04667912376308243,1.458887273275281
19,2,0.003623502125070143,0.017269441792473778
19,4,0.013253809881646159,0.11135393318352312
19,6,0.0161007007909734,0.19113111247891176
19,8,0.017092566351116202,0.2607220231313806
19,10,0.01810617681558998,0.3366818271193757
19,12,0.019577537782535875,0.4292361334591357
19,14,0.02210055438298879,0.5587497229467181
19,16,0.02717809320138561,0.7813626276452968
19,18,0.044245950587650566,1.4496238524960479
20,2,0.00318233302853126,0.015121966620356945
20,3,0.009387931998155222,0.06190582826215235
20,4,0.012900234750417927,0.10806055847754055
20,5,0.014261536839184788,0.14427477993617582
20,6,0.014913744028033676,0.17637989336440474
20,7,0.015378001447243985,0.20785946983111633
20,8,0.015743167674660948,0.23915935838617672
20,9,0.01614200313111143,0.27208138545410476
20,10,0.01659860478091938,0.3072815265077084
20,11,0.01709988908778818,0.34480866383755926
20,12,0.017737259953844293,0.38694677034305014
20,13,0.018529108891107277,0.43485531915268283
20,14,0.019559813447596903,0.49152701332111814
20,15,0.020939291172864867,0.5612660239451782
20,16,0.022874270687120186,0.6520456751297431
20,17,0.02578978503963601,0.7802930829131983
20,18,0.030766933539534306,0.9879259519437681
20,19,0.04206246076141722,1.4413751513293869
21,2,0.0028127026314906356,0.01333010688999112
21,4,0.01156856327845361,0.09658209531516763
21,6,0.013871885879938498,0.1635097516808836
21,8,0.014648032099637751,0.22173070112206972
