n,k,avg_rprmax,avg_rppmax
3,2,0.749934,3.128187
4,2,0.333333,1.042955
4,3,0.444444,2.267787
5,2,0.186339,0.778147
5,4,0.3125,2.090712
6,2,0.116952,0.598218
6,3,0.153171,0.8714214
6,4,0.179284,1.179148
6,5,0.24,1.863177
7,2,0.079057,0.503533
7,4,0.12355580000000002,0.9384463999999999
7,6,0.194444,1.797039
8,2,0.056344,0.429749
8,3,0.0790813,0.6347452
8,4,0.09256040000000001,0.8116593
8,5,0.10336969999999998,0.9786925999999999
8,6,0.121046,1.209134
8,7,0.163265,1.705247
9,2,0.041796,0.378318
9,4,0.0719949,0.7196682
9,6,0.08875079999999999,1.0168921999999998
9,8,0.140625,1.692597
10,2,0.031996,0.336281
10,3,0.0445276,0.48874059999999997
10,4,0.0582932,0.6562361999999999
10,5,0.06482160000000001,0.7809389000000001
10,6,0.0698375,0.9012637
10,7,0.07747069999999999,1.0424639
10,8,0.090924,1.251196
10,9,0.123457,1.666076
11,2,0.025126,0.303783
11,4,0.0511331,0.6222613
11,6,0.05752410000000001,0.8224389000000001
11,8,0.0686199,1.0684841999999999
11,10,0.11,1.670444
12,2,0.020151,0.276328
12,3,0.030645400000000007,0.4149765
12,4,0.04107680000000001,0.5639107000000001
12,5,0.0458698,0.6732622
12,6,0.048642700000000004,0.7641869
12,7,0.0514893,0.8566346000000001
12,8,0.055414599999999994,0.9603681000000002
12,9,0.0615649,1.0893307
12,10,0.072654,1.276208
12,11,0.099174,1.664532
13,2,0.016449,0.253906
13,4,0.038058,0.5521142000000001
13,6,0.0420027,0.7188353999999999
13,8,0.0464972,0.8847873999999999
13,10,0.055797,1.1091482000000001
13,12,0.090278,1.673788
14,2,0.013631,0.234516
14,3,0.023361100000000003,0.3759018
14,4,0.032664700000000005,0.5185869000000001
14,5,0.035583500000000004,0.6077435
14,6,0.037056099999999995,0.6827184
14,7,0.0385636,0.7566493999999999
14,8,0.04008470000000001,0.8293351
14,9,0.0423052,0.9089376
14,10,0.0457198,1.0040875000000002
14,11,0.050996999999999994,1.1252145
14,12,0.060435,1.306972
14,13,0.08284,1.675728
15,2,0.011444,0.218114
15,4,0.0296267,0.5005101
15,6,0.033419199999999996,0.6558045
15,8,0.0352801,0.7844860999999999
15,10,0.038856199999999994,0.9320098
15,12,0.0469418,1.1440439000000002
15,14,0.076531,1.687539
16,2,0.009717,0.203677
16,3,0.020497400000000002,0.36028
16,4,0.0268319,0.4823289999999999
16,5,0.0287825,0.5605621000000001
16,6,0.029647899999999998,0.6249867
16,7,0.030644599999999994,0.6884477000000001
16,8,0.0313227,0.7473464999999999
16,9,0.032500900000000006,0.809981
16,10,0.033837799999999994,0.8758134999999999
16,11,0.0358716,0.9510407000000001
16,12,0.0388328,1.0421619000000002
16,13,0.043472500000000004,1.1585643
16,14,0.051704,1.335519
16,15,0.071111,1.693512
17,2,0.008333,0.191162
17,4,0.024061199999999998,0.46223100000000006
17,6,0.027343600000000003,0.6075311999999999
17,8,0.0283331,0.7177627
17,10,0.0300191,0.8319642
17,12,0.033285600000000005,0.9686659999999998
17,14,0.040476700000000004,1.1743621999999998
17,16,0.066406,1.706021
18,2,0.00721,0.179991
18,3,0.01666,0.3348919
18,4,0.021360999999999998,0.43997639999999993
18,5,0.0244507,0.5287597999999999
18,6,0.025150699999999998,0.5887917999999999
18,7,0.0254533,0.6415841999999999
18,8,0.0257624,0.691731
18,9,0.0263146,0.743209
18,10,0.0269609,0.7956879000000001
18,11,0.0278991,0.8516547000000001
18,12,0.0291887,0.9135144000000001
18,13,0.0310342,0.9853497000000001
18,14,0.0337035,1.0724706
18,15,0.03786099999999999,1.1881251
18,16,0.045163,1.362331
18,17,0.062284,1.713988
19,2,0.006287,0.170131
19,4,0.0202708,0.4340567999999999
19,6,0.0231955,0.5717433999999999
19,8,0.0237309,0.6705146
19,10,0.0245157,0.7655374
19,12,0.0260458,0.8701917
19,14,0.029061299999999995,1.0009823000000002
19,16,0.035559499999999994,1.2022225
19,18,0.058642,1.726557
20,2,0.005522,0.161229
20,3,0.0150699,0.3261139
20,4,0.019729199999999995,0.4332045
20,5,0.021072700000000003,0.5015423
20,6,0.0214683,0.5558816
20,7,0.0216855,0.6045021
20,8,0.021832400000000002,0.6496877999999999
20,9,0.0220779,0.6942497999999999
20,10,0.022440699999999997,0.7395094
20,11,0.022892000000000003,0.7848512
20,12,0.0235488,0.8337572
